captain_id,pairings,days_worked,days_off,off_target,soft_req_days,hard_off_days
5,2,5,2,7,0,0
7,2,5,2,7,0,0
10,1,1,6,7,1,3
11,2,6,1,7,0,0
12,1,3,4,7,0,0
16,1,3,4,7,1,0
20,1,1,6,7,4,0
26,1,3,4,7,0,0
28,1,1,6,7,0,4
35,2,3,4,4,3,1
36,1,3,4,6,0,0
37,1,3,4,7,0,0
38,2,4,3,7,0,0
42,1,2,5,6,1,0
45,1,3,4,7,0,0
46,2,6,1,4,0,0
47,1,2,5,7,3,0
49,2,4,3,7,0,0
50,1,2,5,7,2,0
55,2,5,2,7,0,0
57,2,5,2,7,0,0
58,1,3,4,7,1,0
62,2,6,1,7,0,0
63,2,5,2,7,0,0
67,1,3,4,7,1,3
69,2,4,3,7,0,0
73,2,6,1,7,0,0
76,1,3,4,7,0,0
80,1,3,4,7,0,0
82,2,6,1,7,0,0
83,2,7,0,7,0,0
84,2,4,3,7,0,0
86,1,2,5,7,0,0
95,1,3,4,7,0,0
96,1,3,4,7,0,0
97,2,3,4,7,0,0
102,1,3,4,7,0,0
104,1,2,5,7,0,0
108,2,6,1,7,0,0
109,2,5,2,7,0,0
116,1,3,4,7,0,0
131,2,5,2,7,0,0
135,2,4,3,6,0,0
136,1,1,6,7,0,4
143,1,1,6,7,1,3
144,1,3,4,7,0,0
153,1,3,4,7,2,0
168,1,3,4,7,0,0
170,0,0,7,7,0,4
182,2,6,1,7,0,0
184,0,0,7,7,1,3
190,2,5,2,7,0,0
191,2,6,1,7,0,0
193,1,1,6,7,1,3
198,2,4,3,7,2,0
201,2,6,1,7,0,0
253,1,2,5,6,1,1
262,2,5,2,7,0,0
270,2,6,1,7,0,0
271,1,3,4,7,1,3
276,2,5,2,7,0,0
297,2,4,3,7,0,0
307,1,3,4,7,2,0
309,2,4,3,7,4,0
312,2,5,2,7,0,0
320,2,4,3,7,0,0
329,2,5,2,7,0,0
330,1,2,5,7,4,0
347,1,1,6,7,0,0
351,1,3,4,7,2,0
352,2,4,3,7,0,0
359,2,6,1,7,0,0
380,2,5,2,7,0,0
390,1,3,4,2,0,4
400,0,0,7,7,0,4
401,2,5,2,7,0,0
403,2,4,3,7,0,0
404,1,3,4,7,2,0
409,2,5,2,7,0,0
429,0,0,7,7,1,3
448,1,3,4,7,0,0
469,2,5,2,7,0,0
493,2,7,0,7,0,0
503,2,4,3,7,1,0
509,2,5,2,7,0,0
510,1,3,4,7,0,0
521,1,3,4,7,0,0
524,1,2,5,7,0,0
555,2,3,4,7,2,0
560,2,7,0,7,0,0
570,1,3,4,7,0,0
581,1,3,4,7,1,1
583,1,2,5,7,0,0
593,1,2,5,7,0,0
597,2,6,1,7,0,0
603,2,6,1,7,0,0
616,1,2,5,7,1,0
621,1,2,5,7,4,0
623,2,4,3,7,0,0
629,2,5,2,7,0,0
638,2,6,1,6,0,0
640,1,3,4,7,0,0
653,1,3,4,7,0,0
656,2,6,1,7,0,0
663,1,3,4,7,0,0
667,2,5,2,6,0,0
679,1,3,4,7,0,0
681,2,3,4,7,3,0
685,1,1,6,7,1,3
686,1,3,4,7,0,0
692,2,5,2,7,0,0
696,1,1,6,7,2,0
702,2,6,1,7,0,0
704,2,5,2,7,0,0
708,1,2,5,7,1,0
710,1,2,5,7,2,0
711,2,5,2,7,0,0
712,1,1,6,7,1,3
714,2,6,1,7,0,0
721,2,5,2,7,0,0
723,2,7,0,7,0,0
741,0,0,7,7,1,3
742,2,5,2,7,0,0
743,2,6,1,7,0,0
751,2,4,3,7,2,1
755,2,5,2,7,0,0
769,1,1,6,7,4,0
817,2,6,1,7,0,0
821,1,3,4,7,2,0
824,2,5,2,7,1,0
825,2,6,1,7,0,0
828,2,4,3,7,0,0
835,2,7,0,7,0,0
857,2,5,2,7,0,0
863,1,3,4,7,0,0
869,1,3,4,7,0,0
875,1,3,4,7,1,0
876,1,3,4,7,2,0
879,1,3,4,7,0,0
882,2,5,2,7,0,0
883,2,5,2,7,0,0
891,2,4,3,7,0,0
894,2,6,1,7,0,0
903,1,3,4,7,0,0
909,2,5,2,6,0,0
929,1,3,4,7,0,0
936,2,4,3,7,0,0
941,2,6,1,7,0,0
942,1,3,4,7,0,0
944,1,2,5,7,0,0
945,1,3,4,7,0,0
949,2,6,1,7,0,0
951,1,3,4,7,0,0
